label,spec,tier,model,family,use_case,temp,top_p,top_k,decode_tps,prefill_tps,ttft_s,prompt_toks,completion_toks
opt,default,B1,"Qwen3-32B (8-bit, production)",qwen3,coding,0.6,0.95,20,15.3,237,0.194,46,256
opt,default,B1,"Qwen3-32B (8-bit, production)",qwen3,math,0.6,0.95,20,15.3,395,0.192,76,256
opt,default,B1,"Qwen3-32B (8-bit, production)",qwen3,reasoning,0.6,0.95,20,15.3,408,0.194,79,256
opt,default,B1,"Qwen3-32B (8-bit, production)",qwen3,tools,0.6,0.95,20,13.2,1898,0.248,382,57
opt,default,B1,"Qwen3-32B (8-bit, production)",qwen3,creative,0.7,0.8,20,15.4,207,0.193,40,256
opt,default,B1,Qwen3-32B (4-bit),qwen3,coding,0.6,0.95,20,28.2,442,0.104,46,256
opt,default,B1,Qwen3-32B (4-bit),qwen3,math,0.6,0.95,20,28.2,730,0.104,76,256
opt,default,B1,Qwen3-32B (4-bit),qwen3,reasoning,0.6,0.95,20,28.2,759,0.104,79,256
opt,default,B1,Qwen3-32B (4-bit),qwen3,tools,0.6,0.95,20,23.6,4970,0.077,382,68
opt,default,B1,Qwen3-32B (4-bit),qwen3,creative,0.7,0.8,20,28.2,384,0.104,40,256
opt,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,coding,0.7,0.8,20,151.8,1987,0.021,42,256
opt,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,math,0.7,0.8,20,151.2,3387,0.021,72,256
opt,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,reasoning,0.7,0.8,20,151.2,3523,0.021,75,256
opt,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,tools,0.7,0.8,20,109.9,24106,0.017,398,47
opt,default,A1,Qwen3-30B-A3B-2507 (4-bit),qwen3_2507,creative,0.7,0.8,20,151.7,1694,0.021,36,256
opt,default,A4,Gemma 3 27B (4-bit),gemma,coding,1.0,0.95,64,31.9,516,0.091,47,256
opt,default,A4,Gemma 3 27B (4-bit),gemma,math,1.0,0.95,64,29.3,1149,0.066,76,256
