label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|notes
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|prefill|3724.3|0|851|1|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|decode|0|175.3|24|128|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|echo|0|161.2|143|81|
gemma4-e2b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|none|code|0|167.9|193|128|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|prefill|3621.3|0|851|1|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|decode|0|153.3|27|128|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|echo|0|279.4|143|82|
gemma4-e2b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|pld|code|0|167.8|193|128|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|prefill|3629.0|0|851|1|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|decode|0|155.7|27|128|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|echo|0|194.8|143|82|
gemma4-e2b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e2b-it-4bit|drafter|code|0|205.6|194|128|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|prefill|2931.0|0|850|1|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|decode|0|146.5|27|127|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|echo|0|126.0|140|82|
gemma4-e2b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e2b-it@4bit|none|code|0|139.6|193|127|
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|prefill|2123.9|0|857|1|
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|decode|0|122.8|34|128|thinking_leaked=375
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|echo|0|115.2|150|128|thinking_leaked=375
gemma4-e2b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e2b|none|code|0|115.4|200|128|thinking_leaked=375
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|prefill|1769.0|0|850|1|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|decode|0|109.1|27|128|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|echo|0|96.5|141|81|
gemma4-e4b-4bit/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|none|code|0|101.5|194|128|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|prefill|1763.7|0|851|1|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|decode|0|99.7|27|128|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|echo|0|162.9|143|82|
gemma4-e4b-4bit/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|pld|code|0|100.3|194|128|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|prefill|1703.7|0|851|1|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|decode|0|101.6|27|128|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|echo|0|135.9|143|84|
gemma4-e4b-4bit/mlx-serve/drafter|mlx-serve|/Users/david/.lmstudio/models/mlx-community/gemma-4-e4b-it-4bit|drafter|code|0|136.5|193|128|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|prefill|1571.6|0|851|1|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|decode|0|28.7|27|127|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|echo|0|82.5|141|82|
gemma4-e4b-4bit/lmstudio-baseline/none|lmstudio|gemma-4-e4b-it@4bit|none|code|0|89.5|194|127|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|prefill|1209.3|0|858|1|
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|decode|0|80.9|33|128|thinking_leaked=375
gemma4-e4b-4bit/lmstudio-alt/none|lmstudio|google/gemma-4-e4b|none|echo|0|66.5|148|82|
