label|engine|model|spec|prompt|prefill_tps|decode_tps|prompt_toks|completion_toks|notes
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|prefill|239.8|0|854|1|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|decode|0|27.4|30|128|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|echo|0|22.8|150|86|
qwen36-27b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|none|code|0|24.1|189|128|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|prefill|241.6|0|854|1|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|decode|0|26.3|29|128|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|echo|0|34.6|150|87|
qwen36-27b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-27B-4bit|pld|code|0|23.7|189|128|
qwen36-27b/lmstudio-baseline/none|lmstudio|mlx-community/qwen3.6-27b|none|prefill|226.4|0|856|1|
qwen36-27b/lmstudio-baseline/none|lmstudio|mlx-community/qwen3.6-27b|none|decode|0|16.4|32|127|
qwen36-27b/lmstudio-baseline/none|lmstudio|mlx-community/qwen3.6-27b|none|echo|0|21.6|151|87|
qwen36-27b/lmstudio-baseline/none|lmstudio|mlx-community/qwen3.6-27b|none|code|0|19.5|191|127|
qwen36-27b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-27b|none|prefill|216.8|0|855|1|
qwen36-27b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-27b|none|decode|0|20.7|32|128|
qwen36-27b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-27b|none|echo|0|18.0|152|87|
qwen36-27b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-27b|none|code|0|18.7|191|128|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|prefill|1546.7|0|853|1|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|decode|0|114.9|30|128|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|echo|0|96.3|150|86|
qwen36-35b-a3b/mlx-serve/none|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|none|code|0|104.0|189|128|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|prefill|1507.5|0|851|1|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|decode|0|102.2|29|128|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|echo|0|150.8|150|94|
qwen36-35b-a3b/mlx-serve/pld|mlx-serve|/Users/david/.lmstudio/models/mlx-community/Qwen3.6-35B-A3B-4bit|pld|code|0|96.9|188|128|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b@4bit|none|prefill|1232.5|0|856|1|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b@4bit|none|decode|0|92.1|31|127|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b@4bit|none|echo|0|80.3|152|94|
qwen36-35b-a3b/lmstudio-baseline/none|lmstudio|qwen3.6-35b-a3b@4bit|none|code|0|86.9|198|128|backfilled-from-20260509-bench
qwen36-35b-a3b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-35b-a3b|none|prefill|1124.8|0|856|1|
qwen36-35b-a3b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-35b-a3b|none|decode|0|73.9|31|128|
qwen36-35b-a3b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-35b-a3b|none|echo|0|64.3|152|87|
qwen36-35b-a3b/lmstudio-alt/none|lmstudio|qwen/qwen3.6-35b-a3b|none|code|0|68.1|191|128|
