label,model,temp,spec,concurrency,prompt,prefill_tps,decode_tps,aggregate_tps,prompt_toks,completion_toks
Qwen3-4B-4bit,x,0.7,default,1,echo,23723.03,449.82,449.82,311,260
Qwen3-4B-4bit,x,0.7,default,1,decode,2025.29,179.84,179.84,31,256
Qwen3-8B-8bit,x,0.7,default,1,echo,9212.71,190.9,190.9,311,260
Qwen3-8B-8bit,x,0.7,default,1,decode,680.74,61.77,61.77,31,256
conc-Qwen3-8B-8bit,x,0.7,none,1,decode,674.3,61.38,61.38,31,128
conc-Qwen3-8B-8bit,x,0.7,none,2,decode,514.4,52.73,102.72,31,128
conc-Qwen3-8B-8bit,x,0.7,none,4,decode,245.05,39.04,151.47,31,128
conc-Qwen3-8B-8bit,x,0.7,none,8,decode,146.04,22.42,174.2,31,128
Qwen3-30B-A3B-Instruct-2507-4bit,x,0.7,default,1,echo,19463.28,284.8,284.8,307,260
Qwen3-30B-A3B-Instruct-2507-4bit,x,0.7,default,1,decode,1253.45,151.28,151.28,27,256
gemma-4-e4b-it-4bit,x,0.7,default,1,echo,17961.17,366.81,366.81,306,260
gemma-4-e4b-it-4bit,x,0.7,default,1,decode,1309.9,133.72,133.72,28,256
gemma-4-26b-a4b-it-4bit,x,0.7,default,1,echo,17017.73,275.78,275.78,310,260
gemma-4-26b-a4b-it-4bit,x,0.7,default,1,decode,1309.96,130.54,130.54,32,256
Qwen3.6-27B-4bit,x,0.7,default,1,echo,4980.69,74.21,74.21,311,260
Qwen3.6-27B-4bit,x,0.7,default,1,decode,343.54,32.51,32.51,31,256
Qwen3-32B-4bit,x,0.7,default,1,echo,4187.62,59.27,59.27,311,260
Qwen3-32B-4bit,x,0.7,default,1,decode,292.86,28.12,28.12,31,256
Qwen3-32B-8bit,x,0.7,default,1,echo,2300.18,44.85,44.85,311,260
Qwen3-32B-8bit,x,0.7,default,1,decode,160.21,15.34,15.34,31,256
conc-Qwen3-32B-8bit,x,0.7,none,1,decode,160.31,15.46,15.46,31,128
conc-Qwen3-32B-8bit,x,0.7,none,2,decode,152.12,14.3,28.18,31,128
conc-Qwen3-32B-8bit,x,0.7,none,4,decode,62.08,10.04,38.95,31,128
conc-Qwen3-32B-8bit,x,0.7,none,8,decode,37.21,5.56,43.24,31,128
